dataset,chunking,routing,experiment,task,retriever,embedder,k,precision,recall,f1,dcg,ndcg,qa_similarity,bertscore_f1,num_queries,num_evaluable_queries,queries_path,qrels_path,evidence_path,answers_path,generation_model,index_path,index_metadata_path,status,details
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,document_retrieval,numpy,mpnet,1,0.21,0.21,0.21,0.21,0.21,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,document_retrieval,numpy,mpnet,3,0.09333333333333332,0.28,0.14,0.25023719014285833,0.25023719014285833,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,document_retrieval,numpy,mpnet,5,0.05600000000000002,0.28,0.09333333333333334,0.25023719014285833,0.25023719014285833,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,document_retrieval,numpy,mpnet,10,0.03700000000000002,0.37,0.06727272727272728,0.2799543056260184,0.2799543056260184,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,evidence_retrieval,numpy,mpnet,1,0.006157312591961982,0.02890845070422535,0.006367125538672443,,,,,1005,355,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,evidence_retrieval,numpy,mpnet,3,0.00581137284940357,0.034401408450704225,0.0063362983332347755,,,,,1005,355,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,evidence_retrieval,numpy,mpnet,5,0.006155265564547957,0.0527112676056338,0.006931791045883336,,,,,1005,355,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,evidence_retrieval,numpy,mpnet,10,0.005957277506521049,0.06087636932707355,0.006735919714109895,,,,,1005,355,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,answer_generation,numpy,mpnet,1,,,,,,0.3917976662464125,-0.06771480373884092,1005,355,data/normalized/beir/qasper/queries.json,,,data/normalized/beir/qasper/answers.json,dummy-qasper-model,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,partial,"generation backend is extractive heuristic; paper uses LLM-generated answers; paper uses top-5 chunks for answer generation; metrics replicated across requested ks; generation_model.name is 'dummy-qasper-model', paper uses 'gpt-4o-mini'; BERTScore unavailable: paper BERTScore model 'microsoft/deberta-xlarge-mnli' failed; fallback to 'roberta-large'"
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,answer_generation,numpy,mpnet,3,,,,,,0.3917976662464125,-0.06771480373884092,1005,355,data/normalized/beir/qasper/queries.json,,,data/normalized/beir/qasper/answers.json,dummy-qasper-model,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,partial,"generation backend is extractive heuristic; paper uses LLM-generated answers; paper uses top-5 chunks for answer generation; metrics replicated across requested ks; generation_model.name is 'dummy-qasper-model', paper uses 'gpt-4o-mini'; BERTScore unavailable: paper BERTScore model 'microsoft/deberta-xlarge-mnli' failed; fallback to 'roberta-large'"
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,answer_generation,numpy,mpnet,5,,,,,,0.3917976662464125,-0.06771480373884092,1005,355,data/normalized/beir/qasper/queries.json,,,data/normalized/beir/qasper/answers.json,dummy-qasper-model,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,partial,"generation backend is extractive heuristic; paper uses LLM-generated answers; paper uses top-5 chunks for answer generation; metrics replicated across requested ks; generation_model.name is 'dummy-qasper-model', paper uses 'gpt-4o-mini'; BERTScore unavailable: paper BERTScore model 'microsoft/deberta-xlarge-mnli' failed; fallback to 'roberta-large'"
beir/qasper,fixed,no-routing,qasper_normalized_pipeline,answer_generation,numpy,mpnet,10,,,,,,0.3917976662464125,-0.06771480373884092,1005,355,data/normalized/beir/qasper/queries.json,,,data/normalized/beir/qasper/answers.json,dummy-qasper-model,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,partial,"generation backend is extractive heuristic; paper uses LLM-generated answers; paper uses top-5 chunks for answer generation; metrics replicated across requested ks; generation_model.name is 'dummy-qasper-model', paper uses 'gpt-4o-mini'; BERTScore unavailable: paper BERTScore model 'microsoft/deberta-xlarge-mnli' failed; fallback to 'roberta-large'"
