dataset,chunking,routing,experiment,task,retriever,embedder,k,precision,recall,f1,dcg,ndcg,qa_similarity,bertscore_f1,num_queries,num_evaluable_queries,queries_path,qrels_path,evidence_path,answers_path,generation_model,index_path,index_metadata_path,status,details
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,document_retrieval,numpy,mpnet,1,0.09,0.09,0.09,0.09,0.09,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,document_retrieval,numpy,mpnet,3,0.059999999999999984,0.18,0.09,0.14023719014285832,0.14023719014285832,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,document_retrieval,numpy,mpnet,5,0.04400000000000001,0.22,0.07333333333333333,0.156587777449017,0.156587777449017,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,document_retrieval,numpy,mpnet,10,0.02600000000000001,0.26,0.04727272727272727,0.16920544630777318,0.16920544630777318,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,evidence_retrieval,numpy,mpnet,1,0.006331066828511648,0.02640845070422535,0.006671684734894064,,,,,1005,355,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,evidence_retrieval,numpy,mpnet,3,0.00600718270366767,0.03630281690140845,0.006401905235575159,,,,,1005,355,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,evidence_retrieval,numpy,mpnet,5,0.006310882818495937,0.04011737089201878,0.006960890796165381,,,,,1005,355,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,evidence_retrieval,numpy,mpnet,10,0.0058595294715273775,0.04339201877934273,0.0064102345075158695,,,,,1005,355,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,,
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,answer_generation,numpy,mpnet,1,,,,,,0.471322494115628,-0.07070149910705112,1005,355,data/normalized/beir/qasper/queries.json,,,data/normalized/beir/qasper/answers.json,dummy-qasper-model,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,partial,"generation backend is extractive heuristic; paper uses LLM-generated answers; paper uses top-5 chunks for answer generation; metrics replicated across requested ks; generation_model.name is 'dummy-qasper-model', paper uses 'gpt-4o-mini'; BERTScore unavailable: paper BERTScore model 'microsoft/deberta-xlarge-mnli' failed; fallback to 'roberta-large'"
beir/qasper,fixed,no-routing,qasper_normalized_pipeline_streaming,answer_generation,numpy,mpnet,3,,,,,,0.471322494115628,-0.07070149910705112,1005,355,data/normalized/beir/qasper/queries.json,,,data/normalized/beir/qasper/answers.json,dummy-qasper-model,data/indexes/beir/qasper/fixed/mpnet/vectors.npy,data/indexes/beir/qasper/fixed/mpnet/metadata.pkl,partial,"generation backend is extractive heuristic; paper uses LLM-generated answers; paper uses top-5 chunks for answer generation; metrics replicated across requested ks; generation_model.name is 'dummy-qasper-model', paper uses 'gpt-4o-mini'; BERTScore unavailable: paper BERTScore model 'microsoft/deberta-xlarge-mnli' failed; fallback to 'roberta-large'"
