dataset,chunking,routing,experiment,task,retriever,embedder,k,precision,recall,f1,dcg,ndcg,qa_similarity,bertscore_f1,num_queries,num_evaluable_queries,queries_path,qrels_path,evidence_path,answers_path,generation_model,index_path,index_metadata_path,status,details
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,document_retrieval,numpy,mpnet,1,0.07,0.07,0.07,0.07,0.07,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,,
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,document_retrieval,numpy,mpnet,3,0.059999999999999984,0.18,0.09,0.1302371901428583,0.1302371901428583,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,,
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,document_retrieval,numpy,mpnet,5,0.04000000000000001,0.2,0.06666666666666668,0.13841248379593765,0.13841248379593765,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,,
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,document_retrieval,numpy,mpnet,10,0.024000000000000007,0.24,0.04363636363636363,0.15106541462162537,0.15106541462162537,,,100,,data/normalized/beir/qasper/queries.json,data/normalized/beir/qasper/qrels/test.json,,,,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,,
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,evidence_retrieval,numpy,mpnet,1,0.03556462226744243,0.03567310677200532,0.02368212734679418,,,,,1451,1352,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,,
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,evidence_retrieval,numpy,mpnet,3,0.02140235904732488,0.07849581359763094,0.024780904951722738,,,,,1451,1352,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,,
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,evidence_retrieval,numpy,mpnet,5,0.018088378987508875,0.1081849371417352,0.023369863730710008,,,,,1451,1352,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,,
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,evidence_retrieval,numpy,mpnet,10,0.013918884648249622,0.14803436808971118,0.018458000117035574,,,,,1451,1352,data/normalized/beir/qasper/queries.json,,data/normalized/beir/qasper/evidences.json,,,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,,
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,answer_generation,numpy,mpnet,1,,,,,,0.48549250096256463,-0.04697293903187136,1451,1372,data/normalized/beir/qasper/queries.json,,,data/normalized/beir/qasper/answers.json,dummy-qasper-model,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,partial,"generation backend is extractive heuristic; paper uses LLM-generated answers; paper uses top-5 chunks for answer generation; metrics replicated across requested ks; generation_model.name is 'dummy-qasper-model', paper uses 'gpt-4o-mini'; BERTScore unavailable: paper BERTScore model 'microsoft/deberta-xlarge-mnli' failed; fallback to 'roberta-large'"
beir/qasper,semantic_breakpoint,no-routing,qasper_normalized_pipeline_streaming,answer_generation,numpy,mpnet,3,,,,,,0.48549250096256463,-0.04697293903187136,1451,1372,data/normalized/beir/qasper/queries.json,,,data/normalized/beir/qasper/answers.json,dummy-qasper-model,data/indexes/beir/qasper/semantic_breakpoint/mpnet/vectors.npy,data/indexes/beir/qasper/semantic_breakpoint/mpnet/metadata.pkl,partial,"generation backend is extractive heuristic; paper uses LLM-generated answers; paper uses top-5 chunks for answer generation; metrics replicated across requested ks; generation_model.name is 'dummy-qasper-model', paper uses 'gpt-4o-mini'; BERTScore unavailable: paper BERTScore model 'microsoft/deberta-xlarge-mnli' failed; fallback to 'roberta-large'"
