dataset,chunking,routing,experiment,task,retriever,embedder,k,precision,recall,f1,dcg,ndcg,qa_similarity,bertscore_f1,num_queries,num_evaluable_queries,queries_path,qrels_path,evidence_path,answers_path,generation_model,index_path,index_metadata_path,status,details
beir/scifact,fixed,no-routing,baseline_pipeline,document_retrieval,numpy,mpnet,1,0.41,0.40333333333333327,0.405,0.41,0.41,,,100,,data/normalized/beir/scifact/queries.json,data/normalized/beir/scifact/qrels/test.json,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,,
beir/scifact,fixed,no-routing,baseline_pipeline,document_retrieval,numpy,mpnet,3,0.18333333333333335,0.5433333333333333,0.2733333333333333,0.49571157042857494,0.49040435768880253,,,100,,data/normalized/beir/scifact/queries.json,data/normalized/beir/scifact/qrels/test.json,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,,
beir/scifact,fixed,no-routing,baseline_pipeline,document_retrieval,numpy,mpnet,5,0.12599999999999986,0.6116666666666667,0.20785714285714288,0.5288509825492809,0.5199941087178841,,,100,,data/normalized/beir/scifact/queries.json,data/normalized/beir/scifact/qrels/test.json,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,,
beir/scifact,fixed,no-routing,baseline_pipeline,document_retrieval,numpy,mpnet,10,0.06799999999999992,0.6466666666666667,0.12247086247086247,0.5456520929147477,0.5329631692341598,,,100,,data/normalized/beir/scifact/queries.json,data/normalized/beir/scifact/qrels/test.json,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,,
beir/scifact,fixed,no-routing,baseline_pipeline,evidence_retrieval,numpy,mpnet,1,,,,,,,,,,,,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,skipped,task not supported for current config: missing evidence_path
beir/scifact,fixed,no-routing,baseline_pipeline,evidence_retrieval,numpy,mpnet,3,,,,,,,,,,,,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,skipped,task not supported for current config: missing evidence_path
beir/scifact,fixed,no-routing,baseline_pipeline,evidence_retrieval,numpy,mpnet,5,,,,,,,,,,,,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,skipped,task not supported for current config: missing evidence_path
beir/scifact,fixed,no-routing,baseline_pipeline,evidence_retrieval,numpy,mpnet,10,,,,,,,,,,,,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,skipped,task not supported for current config: missing evidence_path
beir/scifact,fixed,no-routing,baseline_pipeline,answer_generation,numpy,mpnet,1,,,,,,,,,,,,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,skipped,task not supported for current config: missing answers_path
beir/scifact,fixed,no-routing,baseline_pipeline,answer_generation,numpy,mpnet,3,,,,,,,,,,,,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,skipped,task not supported for current config: missing answers_path
beir/scifact,fixed,no-routing,baseline_pipeline,answer_generation,numpy,mpnet,5,,,,,,,,,,,,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,skipped,task not supported for current config: missing answers_path
beir/scifact,fixed,no-routing,baseline_pipeline,answer_generation,numpy,mpnet,10,,,,,,,,,,,,,,,data/indexes/beir/scifact/fixed/mpnet/vectors.npy,data/indexes/beir/scifact/fixed/mpnet/metadata.pkl,skipped,task not supported for current config: missing answers_path
